"customer_id","revenue"
1,70.13
2,5103.53
3,168.15
4,1725.27
5,517.46
6,2941.11
7,45.35
8,136.76
9,343.89
10,1100.65
11,529.2
12,10292.88
13,1001.78
14,465.84
15,856.24
16,185.55
17,294.61
18,748.23
19,668.15
20,36.24
21,115.68
22,216.9
23,5055.74
24,315.47
25,22.59
26,1022.56
27,863.83
28,600.25
29,458.18
30,950.88
31,2004.56
32,562.77
33,195.73
34,94
35,15.77
36,15.55
37,830.71
38,281.77
39,218.93
40,6095.26
41,1407.59
42,3998.95
43,75.47
44,236.73
45,578.86
46,659.09
47,5.66
48,1764.89
49,5.28
50,57.07
51,735.99
52,78.24
53,68.54
54,711.78
55,283.71
56,283.42
57,1103.96
58,2867.78
59,73.36
60,64.25
61,1027.71
62,1168.73
63,158.25
64,160.97
65,73.23
66,15.25
67,134.88
68,255.25
69,42.95
70,1582.93
71,353.87
72,42.95
73,290.85
74,135.24
75,54.7
76,192.97
77,525.96
78,1424.54
79,59.02
80,31.07
81,12822.14
82,1930.48
83,2878.41
84,59.48
85,23224.19
86,362.39
87,33.73
88,463.31
89,122.51
90,92.43
91,8.43
92,642.47
93,489.52
94,229.95
95,4059.41
96,9380.17
97,158.62
98,548.02
99,222.17
100,13.9
101,1209.76
102,363.81
103,151.95
104,115.98
105,294.74
106,1832.76
107,397.57
108,285.33
109,140.71
110,1656.02
111,150.9
112,38.36
113,466.77
114,523.46
115,5562.13
116,248.13
117,18.6
118,644.53
119,673.17
120,193.85
121,50.33
122,3821.16
123,787.28
124,266.13
125,1385.06
126,682.96
127,50.33
128,113.11
129,489.46
130,369.8
131,7.68
132,286.23
133,600.11
134,38.29
135,197.86
136,424.38
137,3969.44
138,184.15
139,1180.32
140,452.39
141,942.08
142,1278.59
143,595.72
144,479.36
145,17876.24
146,21.53
147,260.79
148,852.56
149,2199.62
150,378.21
151,641.49
152,155.43
153,374.85
154,274.33
155,17542.17
156,907.81
157,269.68
158,65.93
159,34.6
160,2596.65
161,8496.75
162,15179.34
163,363.58
164,916
165,33.66
166,1761.51
167,156.45
168,191.71
169,5695.38
170,178.77
171,383.26
172,929.7
173,22.41
174,105.29
175,12046.22
176,495.18
177,338.39
178,1948.15
179,2281.4
180,1222.26
181,4081.4
182,1230.51
183,97.18
184,850.27
185,1225.79
186,1071.34
187,726.48
188,99.37
189,74.04
190,37.38
191,405.34
192,33.31
193,227.41
194,845.46
195,456.38
196,625.89
197,186.35
198,169.51
199,497.44
200,5.31
201,27.03
202,708.11
203,236.12
204,12799.02
205,68.94
206,65.67
207,0.94
208,3229.75
209,484.42
210,219.97
211,153.42
212,375.03
213,377.62
214,504.73
215,53.04
216,306.07
217,257.64
218,12803.23
219,164.52
220,7421.91
221,1121.02
222,482.85
223,4809.06
224,198.82
225,7224.79
226,376.13
227,301.74
228,1694.32
229,956.85
230,175.35
231,129.71
232,31.14
233,26.26
234,208.99
235,644.31
236,463.67
237,94.27
238,809.9
239,3.02
240,1769.64
241,413.29
242,3892.26
243,85.53
244,152.08
245,510.62
246,2381
247,136.43
248,465.83
249,2509.73
250,898.92
251,20.15
252,116.17
253,2678.3
254,444.8
255,50.11
256,1404.31
257,1108.3
258,60.96
259,34.87
260,7279.3
261,834.17
262,1890.05
263,699.33
264,11950.82
265,143.85
266,67.91
267,238.9
268,268.26
269,1210.67
270,86.29
271,314.07
272,837.14
273,31.38
274,522.61
275,1536.5
276,2074.39
277,194.07
278,192.09
279,61.37
280,8.74
281,197.95
282,1909.06
283,3900.65
284,68.04
285,52.81
286,576.13
287,144.88
288,122.42
289,1586.76
290,17.76
291,77.14
292,213.26
293,449.18
294,83.82
295,288.51
296,28.56
297,874.43
298,763.74
299,825.07
300,69.3
301,224.71
302,34.51
303,67.54
304,220.11
305,934.82
306,60.26
307,145.67
308,10666.94
309,1847.75
310,6.4
311,916.32
312,950.38
313,1729.46
314,1265.34
315,8.96
316,9695.33
317,4119.64
318,1421.67
319,74.43
320,63.28
321,95.07
322,44.37
323,55.59
324,1329.95
325,336.92
326,5904.16
327,158.01
328,1160.84
329,8349.13
330,716.03
331,1085.06
332,100.57
333,429.32
334,19.74
335,166.04
336,10443.27
337,25.32
338,368.95
339,201.32
340,18530.02
341,127.58
342,98.74
343,1213.02
344,1530.26
345,1308.82
346,10.83
347,298.54
348,12.62
349,586.05
350,6935.39
351,394.97
352,884.5
353,570.5
354,2264.01
355,15.22
356,15.46
357,767.45
358,16.86
359,593.45
360,270.11
361,6582.7
362,406.28
363,195.28
364,194.24
365,464.7
366,2663.13
367,34.58
368,3481.21
369,90.22
370,28.89
371,79.87
372,14.23
373,420.56
374,469.23
375,36.56
376,20.2
377,321.89
378,283.23
379,217.24
380,734.27
381,897.64
382,117.95
383,65.83
384,1124.69
385,52.39
386,851.63
387,916.18
388,6099.67
389,1565.41
390,21.95
391,253.14
392,6348.09
393,2091.05
394,146.87
395,155.42
396,565.1
397,402.43
398,134.62
399,51.12
400,79.73
401,23.89
402,172.41
403,21314.64
404,534.22
405,3.7
406,356.43
407,398.6
408,101.55
409,44746.04
410,29841.97
411,257.08
412,813.26
413,226.83
414,404.34
415,293.16
416,783.09
417,4168.25
418,100.87
419,837.4
420,33.67
421,85.25
422,17.13
423,1305.54
424,2915.6
425,294.31
426,1574.88
427,1257.63
428,655.78
429,254.39
430,3049.07
431,13.15
432,1158.93
433,18.3
434,134.28
435,1135.39
436,9.5
437,139.59
438,78.52
439,116
440,1180.19
441,14.3
442,893.23
443,16.86
444,5441.74
445,80.83
446,76.6
447,2.16
448,22911.5
449,447.99
450,29.85
451,52.95
452,40.06
453,996.1
454,1136
455,746.35
456,109.71
457,55.14
458,241.15
459,984.67
460,2107.63
461,342.93
462,644.24
463,2468.82
464,1115.62
465,391.33
466,911.41
467,774.92
468,666.9
469,1440.63
470,15.34
471,424.41
472,1327.71
473,168.88
474,464.61
475,5774.96
476,101.02
477,7131.94
478,80.96
479,326.59
480,7518.58
481,489.84
482,3.7
483,34.71
484,102.87
485,218.29
486,187.65
487,1150.91
488,730.18
489,2981.1
490,10180.95
491,2950.96
492,1051.32
493,955.52
494,25.28
495,352.28
496,146.74
497,2523.62
498,1919.61
499,98.2
500,94.66
